"year","country","conditionality","conditions","sanctions","occup","wage","oth","jsr","vol","ref","rep","fail"
1980,"Australia",0.5,0.67,0.38,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0
1981,"Australia",0.5,0.67,0.38,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0
1982,"Australia",0.5,0.67,0.38,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0
1983,"Australia",0.5,0.67,0.38,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0
1984,"Australia",0.5,0.67,0.38,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0
1985,"Australia",0.5,0.67,0.38,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0
1986,"Australia",0.62,0.67,0.58,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.833333333333333
1987,"Australia",0.53,0.67,0.42,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0.333333333333333
1988,"Australia",0.53,0.67,0.42,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0.333333333333333
1989,"Australia",0.54,0.71,0.42,1,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0.333333333333333
1990,"Australia",0.57,0.71,0.46,1,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,1,0.333333333333333
1991,"Australia",0.59,0.75,0.46,1,0.666666666666667,0.5,0.833333333333333,0.166666666666667,0.333333333333333,1,0.333333333333333
1992,"Australia",0.59,0.75,0.46,1,0.666666666666667,0.5,0.833333333333333,0.166666666666667,0.333333333333333,1,0.333333333333333
1993,"Australia",0.59,0.75,0.46,1,0.666666666666667,0.5,0.833333333333333,0.166666666666667,0.333333333333333,1,0.333333333333333
1994,"Australia",0.63,0.79,0.5,1,0.666666666666667,0.666666666666667,0.833333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333
1995,"Australia",0.63,0.79,0.5,1,0.666666666666667,0.666666666666667,0.833333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333
1996,"Australia",0.65,0.83,0.5,1,0.666666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,1,0.333333333333333
1997,"Australia",0.59,0.83,0.42,1,0.666666666666667,0.666666666666667,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
1998,"Australia",0.59,0.83,0.42,1,0.666666666666667,0.666666666666667,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
1999,"Australia",0.57,0.79,0.42,1,0.666666666666667,0.5,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
2000,"Australia",0.57,0.79,0.42,1,0.666666666666667,0.5,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
2001,"Australia",0.57,0.79,0.42,1,0.666666666666667,0.5,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
2002,"Australia",0.57,0.79,0.42,1,0.666666666666667,0.5,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
2003,"Australia",0.57,0.79,0.42,1,0.666666666666667,0.5,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
2004,"Australia",0.57,0.79,0.42,1,0.666666666666667,0.5,1,0.166666666666667,0.5,0.666666666666667,0.333333333333333
2005,"Australia",0.51,0.79,0.33,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.333333333333333
2006,"Australia",0.51,0.79,0.33,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.333333333333333
2007,"Australia",0.51,0.79,0.33,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.333333333333333
2008,"Australia",0.51,0.79,0.33,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.333333333333333
2009,"Australia",0.48,0.79,0.29,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.166666666666667
